Date,Average,Ask,Bid,Last,TotalVolume
2015-03-14,284.19,283.36,282.97,283.26,74356.26
2015-03-13,291.96,289.08,288.85,289.0,88666.62
2015-03-12,295.25,295.58,295.3,295.38,66300.1
2015-03-11,294.09,296.71,296.27,296.54,70646.05
2015-03-10,294.2,294.14,293.99,294.05,161298.95
2015-03-09,281.89,289.42,288.91,289.09,139722.21
2015-03-08,276.11,275.56,275.15,275.27,47281.44
2015-03-07,274.2,276.61,276.37,276.52,52597.14
2015-03-06,273.9,273.79,273.57,273.6,90835.39
2015-03-05,271.51,276.29,276.04,276.4,127169.72
2015-03-04,279.95,272.56,272.25,272.57,127193.97
2015-03-03,275.71,281.43,281.14,281.17,155102.28
2015-03-02,262.51,273.43,273.09,273.22,120210.35
2015-03-01,252.75,260.09,259.71,259.8,78704.16
2015-02-28,253.69,255.43,254.97,255.16,46830.74
2015-02-27,250.27,256.28,255.89,256.04,147991.29
2015-02-26,237.67,237.89,237.46,237.55,46714.62
2015-02-25,238.83,238.52,238.17,238.33,38979.25
2015-02-24,239.65,240.19,239.78,240.09,47043.86
2015-02-23,236.63,239.77,239.56,239.72,56158.45
2015-02-22,242.91,236.36,235.93,236.25,68906.43
2015-02-21,245.54,245.68,245.42,245.52,44001.45
2015-02-20,243.61,244.68,244.51,244.65,84337.26
2015-02-19,238.6,241.76,241.36,241.72,60345.53
2015-02-18,240.54,235.58,234.77,235.3,90158.58
2015-02-17,238.78,242.94,242.62,242.95,98406.95
2015-02-16,234.47,236.66,236.17,236.49,103551.64
2015-02-15,251.15,233.63,233.36,233.52,220810.71
2015-02-14,245.52,258.89,258.56,258.7,163781.23
2015-02-13,231.76,236.05,235.66,235.81,157049.28
2015-02-12,220.79,223.22,222.78,223.0,54069.23
2015-02-11,221.76,220.12,219.52,219.72,61727.11
2015-02-10,219.15,220.94,220.41,220.75,80332.87
2015-02-09,221.47,220.56,220.06,220.28,106508.11
2015-02-08,225.7,224.14,223.79,224.02,62701.12
2015-02-07,226.48,228.58,228.42,228.62,84554.96
2015-02-06,220.37,223.88,223.55,223.62,86872.09
2015-02-05,223.1,218.23,217.78,218.01,82264.98
2015-02-04,235.35,227.33,226.86,227.24,129814.32
2015-02-02,226.53,239.5,238.98,239.25,89210.71
2015-02-01,218.48,226.85,226.49,226.82,126069.21
2015-01-31,228.65,222.76,222.52,222.62,81293.71
2015-01-30,232.67,229.35,228.86,229.38,102020.39
2015-01-29,232.22,231.61,231.29,231.27,124452.33
2015-01-28,254.06,235.73,235.52,235.68,166579.16
2015-01-27,261.48,263.27,262.85,263.02,150802.02
2015-01-26,280.63,271.8,271.22,272.0,358906.83
2015-01-25,248.56,253.02,252.57,252.97,111023.64
2015-01-24,237.55,247.59,247.19,247.47,84807.15
2015-01-23,230.54,232.08,231.55,231.98,89840.36
2015-01-22,232.17,232.38,231.96,232.12,128193.66
